ID,ELEMENT_NAME,ackAutomaton,valueAutomaton,theme
:R:A:BAS:QJSB:dciBAS-MANAUTO:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:QJSB:dciBAS-LOCAL:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:QJSB:dciBAS-REMOTE:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:QJSB:dciBAS-RUNSTOP1:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:QJSB:dciBAS-FLTALM1:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:QJSB:dciBAS-RUNSTOP2:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:QJSB:dciBAS-FLTALM2:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:QJSB:dciBAS-UHLALM:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:QJSB:dciBAS-DWPUMP:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:QJSB:dciBAS-SIGPUMP:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:QJSB:dciBAS-STPPUMP:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:QJSB:dciBAS-LLALM:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:QJSB:dciBAS-MPRTFLT1:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:QJSB:dciBAS-MPRTFLT2:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:QJSB:dciBAS-MPRUNSG:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:QJSB:dciBAS-BPRUNSG:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:QJSB:dciBAS-ULFLT:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:QJSB:dciBAS-SYSGS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:QJSB:aciBAS-LEVSTA:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:QJSB:aciBAS-RUNTIME1:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:QJSB:aciBAS-RUMTIME2:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:TJSB:dciBAS-MANAUTO:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TJSB:dciBAS-LOCAL:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TJSB:dciBAS-REMOTE:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TJSB:dciBAS-RUNSTOP1:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TJSB:dciBAS-FLTALM1:dal,dal_type,Ack,DIBasic2StateLog,0
