ID,ELEMENT_NAME,label,valueLength,unit,__AGGREGATE__,initCond1,returnCond1,returnCondTO,Archive,hmiOrder,computedMessage,type
:R:A:BAS:XDDF:dciBAS-MANAUTO,dci_cb_type,&DB_SHOUDONGZIDONGZHUANGTAI,,,,,,,,1,,__ERASE__
:R:A:BAS:XDDF:dciBAS-ENCTL,dci_cb_type,&DB_BASH,,,,,,,,2,,__ERASE__
:R:A:BAS:XDDF:dciBAS-FULOPN,dci_cb_type,&DB_QUAN,,,,,,,,3,,__ERASE__
:R:A:BAS:XDDF:dciBAS-HLVOPN,dci_cb_type,&DB_BANK,,,,,,,,4,,__ERASE__
:R:A:BAS:XDDF:dciBAS-CLOSTA,dci_cb_type,&DB_GUAN2,,,,,,,,5,,__ERASE__
:R:A:BAS:XDDF:dciBAS-VLVALM,dci_cb_type,&DB_GUZH1,,,,,,,,6,,__ERASE__
:R:A:BAS:XDDF:dciBAS-SYSGS,dci_cb_type,&DB_XITONGGUISHU,,,,,,,,7,,__ERASE__
:R:A:BAS:XDDF:dioBAS-MANAUTO,dio_type,&DB_SHOUDONGZIDONGKONGZHI,,,,,,,,8,"Int2String(Byte2Int([.value],0,2))",
:R:A:BAS:XDDF:dioBAS-FLOPN,dio_type,&DB_QUAN1,,,,,,,,9,"Int2String(Byte2Int([.value],0,2))",
:R:A:BAS:XDDF:dioBAS-HVOPN,dio_type,&DB_BANK1,,,,,,,,10,"Int2String(Byte2Int([.value],0,2))",
:R:A:BAS:XDDF:dioBAS-CLOCMD,dio_type,&DB_GUAN3,,,,,,,,11,"Int2String(Byte2Int([.value],0,2))",
:R:A:BAS:DJSB:dciBAS-MANAUTO,dci_cb_type,&DB_SHOUDONGZIDONGZHUANGTAI,,,,,,,,1,,__ERASE__
:R:A:BAS:DJSB:dciBAS-LOCAL,dci_cb_type,&DB_JIUD,,,,,,,,2,,__ERASE__
:R:A:BAS:DJSB:dciBAS-REMOTE,dci_cb_type,&DB_YUAN,,,,,,,,3,,__ERASE__
:R:A:BAS:DJSB:dciBAS-RUNSTOP1,dci_cb_type,&DB_1BENGYUNXINGTINGZHIZHUANGTAI,,,,,,,,4,,__ERASE__
:R:A:BAS:DJSB:dciBAS-FLTALM1,dci_cb_type,&DB_1BEN2,,,,,,,,5,,__ERASE__
:R:A:BAS:DJSB:dciBAS-RUNSTOP2,dci_cb_type,&DB_2BENGYUNXINGTINGZHIZHUANGTAI,,,,,,,,6,,__ERASE__
:R:A:BAS:DJSB:dciBAS-FLTALM2,dci_cb_type,&DB_2BEN2,,,,,,,,7,,__ERASE__
