ZCIPOWHVNK0001,HVNK0001,1
dacPOW-80Sta_NKNB0001,dac,3
dalPOW-80Sta_NKNB0001,dal,3
dciPOW-Reserve14_NKNB0001,dciPOW-Reserve14,2
dfoPOW-Reserve14_NKNB0001,dfo,3
dacPOW-Reserve14_NKNB0001,dac,3
dalPOW-Reserve14_NKNB0001,dal,3
dciPOW-1QFPos_NKNB0001,dciPOW-1QFPos,2
dfoPOW-1QFPos_NKNB0001,dfo,3
dacPOW-1QFPos_NKNB0001,dac,3
dalPOW-1QFPos_NKNB0001,dal,3
dciPOW-1QFOpnlF_NKNB0001,dciPOW-1QFOpnlF,2
dfoPOW-1QFOpnlF_NKNB0001,dfo,3
dacPOW-1QFOpnlF_NKNB0001,dac,3
dalPOW-1QFOpnlF_NKNB0001,dal,3
dciPOW-1QFClolF_NKNB0001,dciPOW-1QFClolF,2
dfoPOW-1QFClolF_NKNB0001,dfo,3
dacPOW-1QFClolF_NKNB0001,dac,3
dalPOW-1QFClolF_NKNB0001,dal,3
dciPOW-1QFJmp_NKNB0001,dciPOW-1QFJmp,2
dfoPOW-1QFJmp_NKNB0001,dfo,3
dacPOW-1QFJmp_NKNB0001,dac,3
dalPOW-1QFJmp_NKNB0001,dal,3
dciPOW-2QFPos_NKNB0001,dciPOW-2QFPos,2
dfoPOW-2QFPos_NKNB0001,dfo,3
dacPOW-2QFPos_NKNB0001,dac,3
dalPOW-2QFPos_NKNB0001,dal,3
dciPOW-2QFOpnlF_NKNB0001,dciPOW-2QFOpnlF,2
dfoPOW-2QFOpnlF_NKNB0001,dfo,3
dacPOW-2QFOpnlF_NKNB0001,dac,3
dalPOW-2QFOpnlF_NKNB0001,dal,3
dciPOW-2QFClolF_NKNB0001,dciPOW-2QFClolF,2
dfoPOW-2QFClolF_NKNB0001,dfo,3
dacPOW-2QFClolF_NKNB0001,dac,3
dalPOW-2QFClolF_NKNB0001,dal,3
dciPOW-2QFJmp_NKNB0001,dciPOW-2QFJmp,2
dfoPOW-2QFJmp_NKNB0001,dfo,3
dacPOW-2QFJmp_NKNB0001,dac,3
dalPOW-2QFJmp_NKNB0001,dal,3
dciPOW-80Pos_NKNB0001,dciPOW-80Pos,2
dfoPOW-80Pos_NKNB0001,dfo,3
dacPOW-80Pos_NKNB0001,dac,3
dalPOW-80Pos_NKNB0001,dal,3
dciPOW-80OpnlF_NKNB0001,dciPOW-80OpnlF,2
dfoPOW-80OpnlF_NKNB0001,dfo,3
dacPOW-80OpnlF_NKNB0001,dac,3
dalPOW-80OpnlF_NKNB0001,dal,3
dciPOW-80ClolF_NKNB0001,dciPOW-80ClolF,2
dfoPOW-80ClolF_NKNB0001,dfo,3
dacPOW-80ClolF_NKNB0001,dac,3
dalPOW-80ClolF_NKNB0001,dal,3
dciPOW-Reserve17_NKNB0001,dciPOW-Reserve17,2
dfoPOW-Reserve17_NKNB0001,dfo,3
dacPOW-Reserve17_NKNB0001,dac,3
dalPOW-Reserve17_NKNB0001,dal,3
dciPOW-Reserve18_NKNB0001,dciPOW-Reserve18,2
dfoPOW-Reserve18_NKNB0001,dfo,3
dacPOW-Reserve18_NKNB0001,dac,3
dalPOW-Reserve18_NKNB0001,dal,3
dciPOW-Reserve9_NKNB0001,dciPOW-Reserve9,2
dfoPOW-Reserve9_NKNB0001,dfo,3
dacPOW-Reserve9_NKNB0001,dac,3
dalPOW-Reserve9_NKNB0001,dal,3
dciPOW-Reserve10_NKNB0001,dciPOW-Reserve10,2
dfoPOW-Reserve10_NKNB0001,dfo,3
dacPOW-Reserve10_NKNB0001,dac,3
